author,affiliation
https://dblp.org/pid/01/5162,"Portland State University, OR, USA"
https://dblp.org/pid/06/293,"Portland State University, OR, USA"
https://dblp.org/pid/159/4115,"Portland State University, OR, USA"
https://dblp.org/pid/168/8651,"Portland State University, OR, USA"
https://dblp.org/pid/18/9866,"Portland State University, Department of Electrical and Computer Engineering, OR, USA"
https://dblp.org/pid/29/6643-40,"Portland State University, Department of Computer Science, Portland, OR, USA"
https://dblp.org/pid/33/9703-3,"Portland State University, Department of Electrical and Computer Engineering, Oregon, USA"
https://dblp.org/pid/367/7050,"Portland State University, USA"
https://dblp.org/pid/46/6368,"Portland State University, USA"
https://dblp.org/pid/48/5101-2,"Portland State University, OR, USA"
https://dblp.org/pid/50/3443,"Portland State University, Department of Computer Science, Portland, OR, USA"
https://dblp.org/pid/64/5995-6,"Portland State University, Department of Electrical and Computer Engineering, OR, USA"
https://dblp.org/pid/66/2217,"Portland State University, Engineering and Technology Management Department, OR, USA"
https://dblp.org/pid/77/1318-15,"Portland State University, Computer Science Department, OR, USA"
https://dblp.org/pid/79/5890-1,"Portland State University, OR, USA"
https://dblp.org/pid/80/10061-1,"Portland State University, Computer Science Department, OR, USA"
https://dblp.org/pid/80/476,"Portland State University, USA"
https://dblp.org/pid/89/5615-8,"Portland State University, Department of Computer Science, OR, USA"
https://dblp.org/pid/b/APBlack,"Portland State University, USA"
https://dblp.org/pid/d/LMLDelcambre,"Portland State University, USA"
https://dblp.org/pid/h/JamesHein,"Portland State University, USA"
https://dblp.org/pid/h/RichardGHamlet,"Portland State University, USA"
https://dblp.org/pid/h/WarrenHarrison,"Portland State University, USA"
https://dblp.org/pid/l/NathanMishraLinger,"Portland State University, USA"
https://dblp.org/pid/m/BartonCMassey,"Portland State University, Computer Science Department, Portland, OR, USA"
https://dblp.org/pid/m/DavidMaier,"Portland State University, OR, USA"
https://dblp.org/pid/m/JohnMatthews,"Portland State University, USA"
https://dblp.org/pid/r/DRaffo,"Portland State University, USA"
https://dblp.org/pid/s/LeonardDShapiro,"Portland State University, USA"
https://dblp.org/pid/t/AndrewPTolmach,"Portland State University, USA"
https://dblp.org/pid/y/BryantWYork,"Portland State University, USA"
